,No._x,Ticker,Company,Sector,Industry,Country,Market Cap_x,P/E_x,Price_x,Change_x,Volume_x,No._y,Market Cap_y,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings,Price_y,Change_y,Volume_y,No._x,Market Cap_x,P/E_y,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Price_x,Change_x,Volume_x,No._y,Market Cap_y,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Avg Volume_x,Price_y,Change_y,Volume_y,No._x,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume_y,Rel Volume,Price_x,Change_x,Volume_x,No._y,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Price_y,Change_y,from Open,Gap,Volume_y
10,11,AAME,Atlantic American Corporation,Financial,Insurance - Life,USA,89.42M,4.59,4.25,-2.97%,192182,11,89.42M,0.47%,5.00%,14.70%,7.70%,-,-,0.25,0.25,-,13.00%,9.50%,May 11,4.25,-2.97%,192182,11,89.42M,4.59,-,-,0.44,0.65,4.38,6.77,-,-,24.30%,-,3.30%,4.25,-2.97%,192182,11,89.42M,20.41M,4.04M,8.00%,0.00%,5.10%,-10.28%,12.40%,0.83,605.21K,4.25,-2.97%,192182,11,-0.93%,4.17%,15.80%,98.60%,140.11%,106.31%,12.24%,7.66%,-,605.21K,0.32,4.25,-2.97%,192182,11,0.24,0.35,0.13%,5.13%,39.52%,-73.39%,168.99%,50.05,4.25,-2.97%,-3.41%,0.46%,192182
11,12,AAN,"The Aaron's Company, Inc.",Industrials,Rental & Leasing Services,USA,1.23B,13.11,36.18,0.53%,132662,12,1.23B,1.11%,-,-,-36.30%,-,-,0.00,0.00,-,-,-,Apr 27/b,36.18,0.53%,132662,12,1.23B,13.11,12.81,-,0.69,1.68,20.13,-,-6.00%,-0.53%,-37.70%,-12.10%,-4.00%,36.18,0.53%,132662,12,1.23B,34.26M,34.09M,2.00%,-4.97%,92.50%,-3.35%,2.29%,2.44,320.40K,36.18,0.53%,132662,12,0.14%,16.79%,51.00%,98.25%,-,90.82%,2.11%,4.13%,2.50,320.40K,0.41,36.18,0.53%,132662,12,-,1.36,7.63%,22.73%,50.77%,-1.71%,123.33%,69.77,36.18,0.53%,0.75%,-0.22%,132662
12,13,AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductors,USA,225.43M,-,8.44,0.60%,413107,13,225.43M,-,-11.90%,-21.20%,-13.20%,2.10,1.10,0.33,0.54,22.50%,-18.50%,-23.50%,May 06/a,8.44,0.60%,413107,13,225.43M,-,-,-,0.92,0.80,4.95,-,19.10%,65.50%,-43.50%,13.00%,4.30%,8.44,0.60%,413107,13,225.43M,26.44M,25.59M,4.30%,-2.32%,52.70%,24.07%,16.51%,6.77,624.02K,8.44,0.60%,413107,13,2.80%,19.72%,4.91%,1.44%,-13.97%,-0.82%,3.56%,5.32%,2.90,624.02K,0.66,8.44,0.60%,413107,13,1.76,0.37,7.96%,6.18%,-10.70%,-51.96%,25.04%,59.50,8.44,0.60%,0.60%,0.00%,413107
13,14,AAON,"AAON, Inc.",Industrials,Building Products & Equipment,USA,3.37B,46.57,64.32,0.22%,89534,14,3.37B,0.59%,16.30%,21.10%,22.10%,3.70,2.40,0.02,0.02,29.60%,18.80%,14.90%,May 06/a,64.32,0.22%,89534,14,3.37B,46.57,41.82,3.88,6.83,9.02,-,70.26,45.90%,16.60%,12.10%,12.00%,7.50%,64.32,0.22%,89534,14,3.37B,52.29M,41.54M,18.40%,-0.77%,72.00%,-0.86%,6.41%,17.97,148.19K,64.32,0.22%,89534,14,-2.49%,0.94%,-11.65%,0.93%,14.75%,-3.47%,2.51%,2.55%,3.30,148.19K,0.60,64.32,0.22%,89534,14,0.52,1.65,-2.62%,-5.13%,-3.26%,-20.84%,28.90%,39.61,64.32,0.22%,0.11%,0.11%,89534
14,15,AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,12.51B,20.66,192.76,0.85%,677505,15,12.51B,2.08%,5.30%,17.50%,11.80%,1.30,0.40,0.30,0.00,44.70%,8.20%,5.90%,Jun 02/b,192.76,0.85%,677505,15,12.51B,20.66,15.92,1.66,1.16,3.62,14.21,12.96,4.40%,12.57%,2.20%,12.41%,0.70%,192.76,0.85%,677505,15,12.51B,65.69M,65.15M,0.50%,0.00%,-,-2.80%,5.04%,3.74,878.23K,192.76,0.85%,677505,15,2.18%,-4.96%,12.39%,29.85%,35.56%,22.38%,2.44%,2.29%,2.20,878.23K,0.77,192.76,0.85%,677505,15,1.37,4.30,-2.27%,-0.51%,15.19%,-8.29%,47.90%,47.22,192.76,0.85%,0.63%,0.22%,677505
15,16,AAPL,Apple Inc.,Technology,Consumer Electronics,USA,2061.59B,28.25,125.89,1.90%,74565206,16,2061.59B,0.70%,22.90%,111.80%,31.70%,1.10,1.10,1.57,1.76,39.90%,27.30%,23.50%,Apr 28/a,125.89,1.90%,74565206,16,2061.59B,28.25,23.54,1.58,6.34,30.48,29.52,27.04,10.20%,3.02%,7.30%,17.93%,3.30%,125.89,1.90%,74565206,16,2061.59B,16.75B,16.68B,0.07%,-2.79%,58.80%,-,0.57%,0.99,95.69M,125.89,1.90%,74565206,16,0.49%,-1.73%,3.68%,2.28%,56.23%,-5.12%,1.27%,1.67%,2.00,95.69M,0.78,125.89,1.90%,74565206,16,1.21,2.38,-0.09%,-1.68%,1.31%,-13.23%,56.98%,47.87,125.89,1.90%,1.52%,0.38%,74565206
16,17,AAQC,Accelerate Acquisition Corp.,Financial,Shell Companies,USA,389.60M,-,9.74,0.00%,10074,17,389.60M,-,-,-,-,-,-,-,-,-,-,-,-,9.74,0.00%,10074,17,389.60M,-,-,-,-,-,-,-,-,-,-,-,-,9.74,0.00%,10074,17,389.60M,40.00M,-,-,-,-,-,-,-,14.19K,9.74,0.00%,10074,17,1.04%,-,-,-,-,-0.41%,0.52%,-,-,14.19K,0.71,9.74,0.00%,10074,17,-,0.06,0.45%,0.45%,0.45%,-2.21%,1.25%,-,9.74,0.00%,0.10%,-0.10%,10074
17,18,AAT,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USA,2.31B,135.41,38.05,-0.26%,304672,18,2.31B,2.94%,0.60%,1.30%,3.30%,-,-,1.31,1.31,64.70%,22.80%,5.10%,Apr 27/a,38.05,-0.26%,304672,18,2.31B,135.41,46.80,45.14,6.95,1.81,6.06,-,-45.30%,112.27%,-11.70%,3.00%,4.60%,38.05,-0.26%,304672,18,2.31B,59.98M,59.67M,0.80%,192.85%,97.40%,0.60%,1.69%,3.10,324.78K,38.05,-0.26%,304672,18,5.69%,12.71%,9.97%,28.24%,22.31%,31.75%,2.09%,2.36%,2.60,324.78K,0.94,38.05,-0.26%,304672,18,1.26,0.85,7.02%,10.61%,29.18%,-1.22%,83.55%,68.85,38.05,-0.26%,0.03%,-0.29%,304672
18,19,AAU,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,72.84M,-,0.53,0.30%,756116,19,72.84M,-,-4.60%,-4.90%,-,19.50,19.50,0.03,0.04,-,-,-,-,0.53,0.30%,756116,19,72.84M,-,-,-,-,0.95,6.28,-,20.80%,-,-11.30%,-,-,0.53,0.30%,756116,19,72.84M,137.22M,131.75M,7.20%,0.00%,4.50%,-28.83%,1.10%,0.72,2.01M,0.53,0.30%,756116,19,-3.85%,-5.18%,-17.05%,-27.56%,13.32%,13.54%,3.23%,4.20%,-,2.01M,0.38,0.53,0.30%,756116,19,1.04,0.02,-1.87%,-1.49%,-26.42%,-57.05%,18.36%,44.81,0.53,0.30%,0.09%,0.21%,756116
19,20,AAWW,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,USA,2.16B,4.81,74.16,-0.17%,282973,20,2.16B,-,7.20%,19.90%,6.30%,1.00,1.00,0.84,0.96,58.10%,13.60%,12.40%,May 05/b,74.16,-0.17%,282973,20,2.16B,4.81,7.01,0.48,0.63,0.89,-,2.32,218.90%,-22.87%,115.40%,10.00%,12.00%,74.16,-0.17%,282973,20,2.16B,28.49M,27.11M,1.10%,-39.73%,-,4.63%,11.58%,6.77,463.56K,74.16,-0.17%,282973,20,-1.88%,3.75%,28.64%,36.65%,62.35%,35.97%,2.38%,2.65%,2.30,463.56K,0.61,74.16,-0.17%,282973,20,1.30,1.95,0.40%,8.56%,23.14%,-2.71%,95.06%,58.43,74.16,-0.17%,-0.80%,0.63%,282973
0,20,AAWW,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,USA,2.16B,4.81,74.16,-0.17%,282973,20,2.16B,-,7.20%,19.90%,6.30%,1.00,1.00,0.84,0.96,58.10%,13.60%,12.40%,May 05/b,74.16,-0.17%,282973,20,2.16B,4.81,7.01,0.48,0.63,0.89,-,2.32,218.90%,-22.87%,115.40%,10.00%,12.00%,74.16,-0.17%,282973,20,2.16B,28.49M,27.11M,1.10%,-39.73%,-,4.63%,11.58%,6.77,463.56K,74.16,-0.17%,282973,20,-1.88%,3.75%,28.64%,36.65%,62.35%,35.97%,2.38%,2.65%,2.30,463.56K,0.61,74.16,-0.17%,282973,20,1.30,1.95,0.40%,8.56%,23.14%,-2.71%,95.06%,58.43,74.16,-0.17%,-0.80%,0.63%,282973
1,21,AAXJ,iShares MSCI All Country Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,-,-,95.58,0.88%,429651,21,-,1.01%,-,-,-,-,-,-,-,-,-,-,-,95.58,0.88%,429651,21,-,-,-,-,-,-,-,-,-,-,-,-,-,95.58,0.88%,429651,21,-,-,-,-,-,-,-,-,-,995.25K,95.58,0.88%,429651,21,1.85%,3.21%,1.19%,10.71%,40.29%,6.66%,0.51%,0.87%,-,995.25K,0.43,95.58,0.88%,429651,21,-,1.14,3.16%,2.70%,7.96%,-6.70%,44.29%,60.25,95.58,0.88%,0.28%,0.59%,429651
2,22,AB,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,4.56B,14.97,45.09,-0.66%,168498,22,4.56B,6.83%,19.20%,19.20%,17.40%,-,-,0.00,0.00,-,100.00%,91.10%,Apr 29/b,45.09,-0.66%,168498,22,4.56B,14.97,12.15,1.01,13.92,2.78,-,772.34,15.90%,9.60%,9.30%,14.78%,8.00%,45.09,-0.66%,168498,22,4.56B,100.15M,95.43M,0.40%,-2.21%,17.10%,-9.54%,1.09%,2.40,435.04K,45.09,-0.66%,168498,22,0.07%,-0.13%,20.59%,36.14%,71.58%,33.52%,1.94%,2.53%,2.90,435.04K,0.39,45.09,-0.66%,168498,22,1.41,1.14,1.93%,6.38%,27.77%,-3.90%,86.71%,58.58,45.09,-0.66%,-0.99%,0.33%,168498
3,23,ABB,ABB Ltd,Industrials,Specialty Industrial Machinery,Switzerland,75.70B,142.68,35.10,1.36%,674560,23,75.70B,2.48%,12.20%,36.20%,4.30%,1.20,0.90,0.41,0.51,31.20%,6.90%,19.70%,Apr 27/b,35.10,1.36%,674560,23,75.70B,142.68,21.67,9.77,2.82,5.17,13.68,58.41,-71.60%,30.65%,-30.70%,14.60%,-5.90%,35.10,1.36%,674560,23,75.70B,2.02B,1.97B,-,-,5.60%,6.11%,0.27%,3.46,1.56M,35.10,1.36%,674560,23,2.75%,4.74%,18.18%,32.20%,63.64%,25.54%,0.72%,1.08%,2.20,1.56M,0.43,35.10,1.36%,674560,23,1.09,0.51,3.84%,7.18%,21.26%,0.52%,72.35%,65.93,35.10,1.36%,0.29%,1.07%,674560
4,24,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,198.19B,39.68,112.36,0.13%,4195765,24,198.19B,4.63%,3.40%,35.80%,12.70%,0.80,0.70,5.41,6.24,64.90%,23.60%,10.10%,Apr 30/b,112.36,0.13%,4195765,24,198.19B,39.68,8.07,8.82,3.95,14.50,20.27,20.83,-48.50%,10.77%,-2.80%,4.50%,14.90%,112.36,0.13%,4195765,24,198.19B,1.77B,1.76B,0.10%,-16.50%,69.00%,-1.01%,0.87%,2.14,7.15M,112.36,0.13%,4195765,24,0.04%,-2.95%,5.30%,7.02%,20.77%,4.86%,1.45%,1.58%,2.00,7.15M,0.59,112.36,0.13%,4195765,24,0.80,1.93,-2.32%,0.99%,9.98%,-5.01%,42.03%,45.60,112.36,0.13%,-0.04%,0.17%,4195765
5,25,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,23.99B,-,116.92,0.10%,692959,25,23.99B,1.51%,-8.40%,-806.00%,-105.20%,1.10,0.70,-,-,2.80%,-2.30%,-1.90%,May 05/b,116.92,0.10%,692959,25,23.99B,-,11.06,-,0.12,-,3.61,25.85,-530.90%,17.01%,8.70%,12.30%,6.90%,116.92,0.10%,692959,25,23.99B,204.92M,148.12M,0.20%,-44.84%,67.40%,1.48%,2.31%,3.05,1.12M,116.92,0.10%,692959,25,1.66%,-1.60%,11.53%,13.38%,17.57%,19.60%,1.43%,2.37%,2.20,1.12M,0.62,116.92,0.10%,692959,25,0.54,2.68,-0.75%,-1.35%,10.18%,-7.10%,27.09%,48.38,116.92,0.10%,0.02%,0.09%,692959
6,26,ABCB,Ameris Bancorp,Financial,Banks - Regional,USA,3.94B,10.70,56.47,-0.09%,182121,26,3.94B,1.06%,1.80%,14.10%,13.80%,-,-,0.18,0.18,-,80.70%,50.90%,Apr 22/a,56.47,-0.09%,182121,26,3.94B,10.70,13.85,1.34,5.46,1.42,1.41,-,37.00%,-19.49%,24.30%,8.00%,30.70%,56.47,-0.09%,182121,26,3.94B,69.39M,65.92M,1.20%,-2.79%,89.60%,2.55%,2.67%,3.75,470.29K,56.47,-0.09%,182121,26,2.50%,0.43%,12.15%,57.87%,111.97%,48.33%,2.12%,3.40%,1.90,470.29K,0.39,56.47,-0.09%,182121,26,1.43,1.81,0.90%,5.12%,39.89%,-5.65%,183.63%,55.49,56.47,-0.09%,0.25%,-0.34%,182121
7,27,ABCL,AbCellera Biologics Inc.,Healthcare,Biotechnology,Canada,6.93B,-,25.97,1.56%,767202,27,6.93B,-,-,-,13.60%,10.30,10.30,0.00,0.00,-,-,-,May 13/a,25.97,1.56%,767202,27,6.93B,-,-,-,16.06,7.32,10.10,-,415.00%,-100.00%,-,-,-,25.97,1.56%,767202,27,6.93B,269.70M,182.88M,23.30%,0.00%,37.20%,3.39%,4.61%,7.31,1.15M,25.97,1.56%,767202,27,-4.35%,-11.73%,-9.23%,-,-,-35.46%,5.51%,7.40%,1.60,1.15M,0.67,25.97,1.56%,767202,27,-,2.06,-13.46%,-11.03%,-29.23%,-63.89%,11.94%,39.24,25.97,1.56%,0.97%,0.59%,767202
8,28,ABCM,Abcam plc,Healthcare,Biotechnology,United Kingdom,4.39B,-,19.38,-0.56%,296179,28,4.39B,-,-,-,-,-,-,-,-,-,-,-,-,19.38,-0.56%,296179,28,4.39B,-,-,-,16.32,-,-,-,-,-,-,-,-,19.38,-0.56%,296179,28,4.39B,226.75M,188.60M,-,-,9.44%,-,0.15%,1.45,199.23K,19.38,-0.56%,296179,28,-3.39%,-7.49%,-8.20%,0.52%,-,-10.07%,5.77%,3.06%,2.00,199.23K,1.49,19.38,-0.56%,296179,28,-,0.75,-4.28%,-4.20%,-6.38%,-21.51%,9.43%,42.32,19.38,-0.56%,-0.67%,0.10%,296179
9,29,ABEO,Abeona Therapeutics Inc.,Healthcare,Biotechnology,USA,180.20M,-,1.69,-7.14%,1644225,29,180.20M,-,-33.80%,-48.10%,-78.10%,2.20,2.20,0.01,0.02,-,-,-,-,1.69,-7.14%,1644225,29,180.20M,-,-,-,18.02,1.69,2.08,-,40.00%,11.60%,-11.50%,-,57.30%,1.69,-7.14%,1644225,29,180.20M,94.23M,84.16M,1.90%,-45.53%,33.10%,-3.08%,9.25%,4.36,1.79M,1.69,-7.14%,1644225,29,2.42%,2.42%,-15.92%,8.33%,-41.72%,7.64%,7.47%,9.45%,1.70,1.79M,0.92,1.69,-7.14%,1644225,29,1.38,0.14,9.99%,3.92%,-4.97%,-55.41%,70.79%,53.16,1.69,-7.14%,-8.15%,1.10%,1644225
10,30,ABEQ,Absolute Core Strategy ETF,Financial,Exchange Traded Fund,USA,-,-,28.33,0.33%,2,30,-,0.56%,-,-,-,-,-,-,-,-,-,-,-,28.33,0.33%,2,30,-,-,-,-,-,-,-,-,-,-,-,-,-,28.33,0.33%,2,30,-,-,-,-,-,-,-,-,-,7.61K,28.33,0.33%,2,30,0.36%,2.39%,9.92%,12.98%,24.39%,11.37%,0.14%,0.43%,-,7.61K,0.00,28.33,0.33%,2,30,-,0.15,0.44%,3.16%,11.29%,-1.61%,34.29%,61.14,28.33,0.33%,0.07%,0.26%,2
11,31,ABEV,Ambev S.A.,Consumer Defensive,Beverages - Brewers,Brazil,60.91B,29.32,3.87,2.11%,27283082,31,60.91B,0.26%,-,-,-,-,-,-,-,-,-,-,May 06/b,3.87,2.11%,27283082,31,60.91B,29.32,27.64,-,1.04,0.82,-,-,-7.10%,7.70%,39.83%,-3.45%,-,3.87,2.11%,27283082,31,60.91B,15.74B,4.40B,-,-,8.82%,-,2.49%,4.96,22.08M,3.87,2.11%,27283082,31,14.84%,38.71%,42.80%,37.91%,50.45%,26.47%,4.10%,3.13%,3.20,22.08M,1.24,3.87,2.11%,27283082,31,-,0.11,15.26%,28.31%,41.66%,-0.51%,86.47%,82.44,3.87,2.11%,1.31%,0.79%,27283082
12,32,ABG,"Asbury Automotive Group, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA,3.67B,10.87,184.09,-3.12%,136677,32,3.67B,-,9.60%,38.20%,11.20%,1.30,0.50,1.16,1.72,17.30%,6.50%,4.20%,Apr 27/b,184.09,-3.12%,136677,32,3.67B,10.87,10.93,0.59,0.48,3.56,132.17,5.03,38.00%,-1.62%,15.50%,18.50%,1.60%,184.09,-3.12%,136677,32,3.67B,19.30M,19.16M,0.90%,-17.67%,-,-0.10%,6.95%,8.01,166.31K,184.09,-3.12%,136677,32,-7.71%,-10.46%,7.25%,49.89%,128.26%,26.31%,4.00%,3.30%,2.10,166.31K,0.82,184.09,-3.12%,136677,32,1.73,7.17,-7.94%,-8.29%,21.56%,-15.12%,155.82%,37.18,184.09,-3.12%,-3.28%,0.16%,136677
13,33,ABGI,ABG Acquisition Corp. I,Financial,Shell Companies,USA,191.37M,-,9.90,-0.05%,3742,33,191.37M,-,-,-,-,10.10,10.10,0.00,0.00,-,-,-,-,9.90,-0.05%,3742,33,191.37M,-,-,-,-,1.27,273.38,-,-,-,-,-,-,9.90,-0.05%,3742,33,191.37M,18.79M,11.34M,3.00%,0.00%,84.20%,411.56%,0.08%,0.17,51.00K,9.90,-0.05%,3742,33,-0.55%,-0.85%,-0.95%,-,-,-4.30%,0.41%,0.89%,-,51.00K,0.07,9.90,-0.05%,3742,33,-,0.08,-0.38%,-0.33%,-0.99%,-7.44%,2.75%,43.52,9.90,-0.05%,-0.55%,0.51%,3742
